"Tarih","Şimdi","Açılış","Yüksek","Düşük","Hac.","Fark %"
"03.03.2025","40,25","37,45","40,90","37,45","","7,28%"
"02.03.2025","37,52","38,96","39,76","36,79","","-3,64%"
"01.03.2025","38,94","37,85","39,48","37,59","","3,00%"
"28.02.2025","37,80","36,82","38,29","36,71","","2,52%"
"27.02.2025","36,87","36,11","37,47","36,06","","2,00%"
"26.02.2025","36,15","35,63","37,19","35,54","","1,44%"
"25.02.2025","35,64","36,59","38,60","35,32","","-2,64%"
"24.02.2025","36,60","34,20","37,17","34,04","","7,09%"
"23.02.2025","34,18","35,00","35,18","33,90","","-2,35%"
"22.02.2025","35,00","36,19","36,25","34,63","","-3,29%"
"21.02.2025","36,19","35,97","36,63","34,96","","0,69%"
"20.02.2025","35,94","35,64","36,07","35,35","","0,86%"
"19.02.2025","35,64","35,87","35,91","35,20","","-0,64%"
"18.02.2025","35,86","34,97","36,19","34,93","","2,56%"
"17.02.2025","34,97","36,19","36,27","34,08","","-3,28%"
"16.02.2025","36,15","36,24","36,39","35,85","","-0,24%"
"15.02.2025","36,24","35,77","36,44","35,72","","1,32%"
"14.02.2025","35,77","36,20","36,30","35,30","","-1,12%"
"13.02.2025","36,17","35,80","36,57","35,47","","0,97%"
"12.02.2025","35,82","36,87","37,13","35,16","","-2,81%"
"11.02.2025","36,86","36,66","37,09","36,05","","0,58%"
"10.02.2025","36,65","36,74","37,27","36,29","","-0,33%"
"09.02.2025","36,77","36,70","37,50","36,25","","0,16%"
"08.02.2025","36,71","36,82","36,99","36,33","","-0,34%"
"07.02.2025","36,84","36,00","37,35","35,34","","2,45%"
"06.02.2025","35,96","34,66","36,17","34,37","","3,70%"
"05.02.2025","34,67","35,82","36,13","34,58","","-3,12%"
"04.02.2025","35,79","35,22","36,98","34,96","","1,86%"
"03.02.2025","35,14","34,01","40,89","33,89","","3,26%"
"02.02.2025","34,03","32,29","34,67","31,95","","5,35%"
"01.02.2025","32,30","31,07","32,35","30,83","","3,97%"
"31.01.2025","31,07","32,25","32,36","30,61","","-3,66%"
"30.01.2025","32,25","33,34","33,45","32,11","","-3,24%"
"29.01.2025","33,33","32,97","33,37","32,53","","1,08%"
"28.01.2025","32,97","32,14","33,05","31,93","","2,50%"
"27.01.2025","32,16","31,74","32,60","31,64","","1,30%"
"26.01.2025","31,75","31,55","31,84","31,33","","0,62%"
"25.01.2025","31,55","31,65","31,90","31,29","","-0,35%"
"24.01.2025","31,67","31,13","31,71","30,81","","1,53%"
"23.01.2025","31,19","31,98","32,65","31,15","","-2,50%"
"22.01.2025","31,99","31,90","32,28","31,52","","0,32%"
"21.01.2025","31,89","31,11","32,20","31,09","","2,45%"
"20.01.2025","31,12","31,48","32,45","30,73","","-1,20%"
"19.01.2025","31,50","31,58","33,34","30,44","","-0,24%"
"18.01.2025","31,58","29,96","31,96","29,93","","5,48%"
"17.01.2025","29,94","30,24","30,84","29,68","","-1,10%"
"16.01.2025","30,27","29,13","30,39","29,13","","3,93%"
"15.01.2025","29,12","29,96","30,53","28,93","","-2,89%"
"14.01.2025","29,99","30,18","30,51","29,80","","-0,64%"
"13.01.2025","30,18","28,95","30,79","28,73","","4,28%"
"12.01.2025","28,95","28,85","29,16","28,78","","0,33%"
"11.01.2025","28,85","29,03","29,24","28,61","","-0,60%"
"10.01.2025","29,02","28,81","29,11","28,55","","0,82%"
"09.01.2025","28,79","28,60","29,01","28,10","","0,62%"
"08.01.2025","28,61","28,67","28,98","28,28","","-0,30%"
"07.01.2025","28,69","27,74","28,75","27,57","","3,45%"
"06.01.2025","27,74","27,08","27,84","26,91","","2,47%"
"05.01.2025","27,07","26,89","27,12","26,80","","0,70%"
"04.01.2025","26,88","27,21","27,37","26,85","","-1,24%"
"03.01.2025","27,22","28,09","28,13","27,17","","-3,05%"
"02.01.2025","28,07","28,19","28,25","27,75","","-0,41%"
"01.01.2025","28,19","28,10","28,30","27,98","","0,34%"
"31.12.2024","28,09","27,66","28,14","27,62","","1,60%"
"30.12.2024","27,65","28,01","28,01","27,32","","-1,21%"
"29.12.2024","27,99","28,06","28,21","27,86","","-0,30%"
"28.12.2024","28,07","28,32","28,40","27,92","","-0,92%"
"27.12.2024","28,33","28,76","28,78","28,15","","-1,42%"
"26.12.2024","28,74","28,44","28,90","28,29","","1,10%"
"25.12.2024","28,43","28,28","28,62","27,95","","0,56%"
"24.12.2024","28,27","27,75","28,41","27,54","","1,98%"
"23.12.2024","27,72","29,00","29,17","27,27","","-4,45%"
"22.12.2024","29,01","29,14","29,37","28,56","","-0,41%"
"21.12.2024","29,13","28,17","29,36","27,85","","3,41%"
"20.12.2024","28,17","28,52","30,03","27,85","","-1,28%"
"19.12.2024","28,54","27,62","28,81","27,48","","3,21%"
"18.12.2024","27,65","27,23","27,68","26,82","","1,39%"
"17.12.2024","27,27","26,56","27,42","26,41","","2,66%"
"16.12.2024","26,56","26,36","27,01","26,10","","0,71%"
"15.12.2024","26,37","26,17","26,68","26,15","","0,75%"
