y,date
"646,887,216",2024-01-10
"689,078,176",2024-01-11
"661,321,006",2024-01-12
"752,569,504",2024-01-13
"128,748,001",2024-01-14
"180,111,563",2024-01-15
"181,754,930",2024-01-16
"248,808,387",2024-01-17
"207,294,362",2024-01-18
"296,750,591",2024-01-19
"311,733,267",2024-01-20
"69,319,575",2024-01-21
"59,045,038",2024-01-22
"338,205,446",2024-01-23
"293,737,240",2024-01-24
"236,773,122",2024-01-25
"170,499,053",2024-01-26
"321,381,863",2024-01-27
"91,411,016",2024-01-28
"135,234,551",2024-01-29
"210,780,867",2024-01-30
"234,753,876",2024-01-31
"293,197,116",2024-02-01
"221,836,886",2024-02-02
"202,752,578",2024-02-03
"58,933,192",2024-02-04
"65,810,396",2024-02-05
"177,940,995",2024-02-06
"151,692,157",2024-02-07
"277,857,411",2024-02-08
"344,617,948",2024-02-09
"483,026,753",2024-02-10
"135,111,737",2024-02-11
"140,691,022",2024-02-12
"444,812,662",2024-02-13
"360,211,576",2024-02-14
"413,379,350",2024-02-15
"390,351,928",2024-02-16
"236,474,603",2024-02-17
"173,573,360",2024-02-18
"141,895,531",2024-02-19
"156,177,342",2024-02-20
"417,586,902",2024-02-21
"265,879,101",2024-02-22
"230,447,312",2024-02-23
"199,133,458",2024-02-24
"79,341,028",2024-02-25
"100,928,619",2024-02-26
"476,193,931",2024-02-27
"607,868,833",2024-02-28
"1,170,337,967",2024-02-29
"796,845,089",2024-03-01
"401,306,949",2024-03-02
"198,823,463",2024-03-03
"189,476,143",2024-03-04
"808,587,145",2024-03-05
"1,275,111,832",2024-03-06
"701,830,512",2024-03-07
"488,010,223",2024-03-08
"672,589,355",2024-03-09
"138,067,431",2024-03-10
"320,260,291",2024-03-11
"858,193,000",2024-03-12
"607,367,409",2024-03-13
"532,150,404",2024-03-14
"774,375,356",2024-03-15
"915,977,937",2024-03-16
"336,978,692",2024-03-17
"337,614,205",2024-03-18
"486,670,431",2024-03-19
"896,735,287",2024-03-20
"892,010,453",2024-03-21
"438,135,487",2024-03-22
"394,506,659",2024-03-23
"212,002,527",2024-03-24
"230,591,018",2024-03-25
"598,111,635",2024-03-26
"420,067,166",2024-03-27
"514,434,736",2024-03-28
"429,321,770",2024-03-29
"231,467,319",2024-03-30
"93,566,715",2024-03-31
"148,022,841",2024-04-01
"333,076,026",2024-04-02
"567,178,522",2024-04-03
"264,675,356",2024-04-04
"408,140,258",2024-04-05
"412,231,112",2024-04-06
"168,432,954",2024-04-07
"199,599,900",2024-04-08
"462,571,787",2024-04-09
"485,608,093",2024-04-10
"439,255,942",2024-04-11
"330,459,720",2024-04-12
"656,060,931",2024-04-13
"625,046,488",2024-04-14
"358,442,337",2024-04-15
"424,121,676",2024-04-16
"434,879,578",2024-04-17
"509,763,761",2024-04-18
"396,096,192",2024-04-19
"627,848,217",2024-04-20
"217,589,645",2024-04-21
"152,452,096",2024-04-22
"370,050,475",2024-04-23
"244,598,872",2024-04-24
"346,769,764",2024-04-25
"331,902,551",2024-04-26
"219,975,352",2024-04-27
"143,816,198",2024-04-28
"103,478,935",2024-04-29
"235,420,816",2024-04-30
"488,305,965",2024-05-01
"626,699,519",2024-05-02
"308,661,105",2024-05-03
"459,739,745",2024-05-04
"257,089,244",2024-05-05
"144,955,309",2024-05-06
"344,693,198",2024-05-07
"279,276,675",2024-05-08
"232,709,097",2024-05-09
"218,949,258",2024-05-10
"305,144,384",2024-05-11
"83,158,593",2024-05-12
"85,559,116",2024-05-13
"266,267,807",2024-05-14
"248,173,583",2024-05-15
"575,329,237",2024-05-16
"315,594,999",2024-05-17
"286,102,455",2024-05-18
"79,102,485",2024-05-19
"112,913,407",2024-05-20
"455,363,725",2024-05-21
"350,193,696",2024-05-22
"319,144,112",2024-05-23
"443,308,783",2024-05-24
"225,741,561",2024-05-25
"81,765,339",2024-05-26
"78,486,260",2024-05-27
"201,309,273",2024-05-28
"305,845,900",2024-05-29
"264,832,289",2024-05-30
"306,077,442",2024-05-31
"249,622,032",2024-06-01
"48,154,510",2024-06-02
"89,209,414",2024-06-03
"332,641,020",2024-06-04
"381,951,959",2024-06-05
"344,754,426",2024-06-06
"281,625,399",2024-06-07
"455,128,375",2024-06-08
"77,737,032",2024-06-09
"66,199,928",2024-06-10
"174,365,596",2024-06-11
"408,497,184",2024-06-12
"366,473,603",2024-06-13
"274,885,726",2024-06-14
"337,748,082",2024-06-15
"78,679,201",2024-06-16
"96,557,462",2024-06-17
"299,300,640",2024-06-18
"374,130,380",2024-06-19
"120,869,514",2024-06-20
"281,061,349",2024-06-21
"230,207,962",2024-06-22
"44,080,862",2024-06-23
"81,685,426",2024-06-24
"549,468,502",2024-06-25
"352,591,280",2024-06-26
"171,579,981",2024-06-27
"187,543,206",2024-06-28
"204,630,561",2024-06-29
"69,285,841",2024-06-30
"124,023,354",2024-07-01
"259,155,678",2024-07-02
"174,262,531",2024-07-03
"263,703,421",2024-07-04
"330,756,425",2024-07-05
"493,037,343",2024-07-06
"135,832,612",2024-07-07
"121,347,004",2024-07-08
"373,768,539",2024-07-09
"269,873,999",2024-07-10
"242,131,296",2024-07-11
"255,291,076",2024-07-12
"234,576,338",2024-07-13
"148,892,228",2024-07-14
"196,264,972",2024-07-15
"493,741,260",2024-07-16
"481,594,279",2024-07-17
"292,832,511",2024-07-18
"235,344,354",2024-07-19
