date,y
2024-01-10,"1,969,563,386,030"
2024-01-11,"2,542,072,030,599"
2024-01-12,"2,518,587,180,620"
2024-01-13,"2,256,278,954,561"
2024-01-14,"1,868,225,539,422"
2024-01-15,"1,514,375,811,197"
2024-01-16,"1,620,014,160,159"
2024-01-17,"1,562,853,658,019"
2024-01-18,"1,836,673,249,014"
2024-01-19,"1,631,653,574,389"
2024-01-20,"1,685,111,629,004"
2024-01-21,"1,670,212,072,045"
2024-01-22,"1,853,169,344,409"
2024-01-23,"1,724,698,305,278"
2024-01-24,"1,576,106,061,869"
2024-01-25,"1,926,836,914,837"
2024-01-26,"1,672,863,925,424"
2024-01-27,"1,903,467,029,384"
2024-01-28,"1,886,104,784,608"
2024-01-29,"1,843,564,180,850"
2024-01-30,"1,760,573,785,130"
2024-01-31,"1,642,188,466,313"
2024-02-01,"1,848,946,620,688"
2024-02-02,"2,273,533,153,342"
2024-02-03,"2,105,172,478,211"
2024-02-04,"1,977,087,414,327"
2024-02-05,"1,937,895,813,638"
2024-02-06,"2,040,160,561,893"
2024-02-07,"2,027,762,936,717"
2024-02-08,"1,843,282,873,562"
2024-02-09,"2,261,616,985,994"
2024-02-10,"2,127,104,046,063"
2024-02-11,"2,299,661,797,260"
2024-02-12,"2,759,487,331,723"
2024-02-13,"2,137,016,493,210"
2024-02-14,"2,381,686,514,057"
2024-02-15,"2,671,752,598,001"
2024-02-16,"2,450,339,818,491"
2024-02-17,"2,591,428,692,610"
2024-02-18,"2,142,964,188,401"
2024-02-19,"2,367,613,813,465"
2024-02-20,"2,466,875,095,526"
2024-02-21,"2,416,925,026,142"
2024-02-22,"2,384,918,532,576"
2024-02-23,"2,749,577,320,519"
2024-02-24,"2,351,298,719,992"
2024-02-25,"2,749,451,386,779"
2024-02-26,"2,396,403,165,770"
2024-02-27,"2,489,475,954,377"
2024-02-28,"3,232,936,959,579"
2024-02-29,"3,212,280,462,490"
2024-03-01,"3,943,981,597,594"
2024-03-02,"3,167,270,495,943"
2024-03-03,"3,937,211,526,335"
2024-03-04,"3,603,239,599,815"
2024-03-05,"4,797,049,754,552"
2024-03-06,"4,233,112,978,164"
2024-03-07,"5,007,884,835,874"
2024-03-08,"4,514,710,554,835"
2024-03-09,"5,008,576,237,614"
2024-03-10,"4,397,774,207,728"
2024-03-11,"5,403,893,216,786"
2024-03-12,"4,541,762,076,057"
2024-03-13,"5,418,016,078,079"
2024-03-14,"4,718,027,349,016"
2024-03-15,"4,170,435,726,496"
2024-03-16,"4,572,082,545,448"
2024-03-17,"4,427,869,331,172"
2024-03-18,"4,230,502,996,772"
2024-03-19,"4,534,609,994,701"
2024-03-20,"4,157,257,569,968"
2024-03-21,"3,260,085,573,886"
2024-03-22,"3,919,638,805,595"
2024-03-23,"4,396,697,168,526"
2024-03-24,"4,504,695,701,096"
2024-03-25,"3,796,577,590,029"
2024-03-26,"4,105,201,037,659"
2024-03-27,"4,292,605,535,446"
2024-03-28,"4,831,288,293,951"
2024-03-29,"4,516,134,411,804"
2024-03-30,"4,946,563,382,950"
2024-03-31,"4,420,875,978,080"
2024-04-01,"4,686,211,703,346"
2024-04-02,"4,549,597,209,124"
2024-04-03,"4,215,028,716,286"
2024-04-04,"3,983,218,541,615"
2024-04-05,"4,209,944,043,023"
2024-04-06,"4,599,554,638,340"
2024-04-07,"5,102,335,549,750"
2024-04-08,"5,001,774,109,089"
2024-04-09,"4,673,956,586,880"
2024-04-10,"5,090,766,653,735"
2024-04-11,"4,532,927,591,490"
2024-04-12,"4,997,575,248,703"
2024-04-13,"5,337,563,654,163"
2024-04-14,"4,566,505,637,622"
2024-04-15,"4,509,721,277,937"
2024-04-16,"4,724,857,700,410"
2024-04-17,"3,879,107,208,703"
2024-04-18,"4,153,165,127,536"
2024-04-19,"4,353,233,656,854"
2024-04-20,"6,843,328,275,093"
2024-04-21,"3,242,954,511,460"
2024-04-22,"3,130,888,550,475"
2024-04-23,"4,263,264,973,184"
2024-04-24,"3,269,750,608,227"
2024-04-25,"2,418,160,130,280"
2024-04-26,"2,088,769,584,310"
2024-04-27,"2,039,036,424,307"
2024-04-28,"1,996,132,336,645"
2024-04-29,"1,866,051,661,068"
2024-04-30,"1,904,140,923,316"
2024-05-01,"1,683,772,213,432"
2024-05-02,"1,753,495,868,544"
2024-05-03,"1,546,860,002,725"
2024-05-04,"1,828,022,503,893"
2024-05-05,"2,243,843,300,975"
2024-05-06,"1,754,214,110,678"
2024-05-07,"1,699,908,116,150"
2024-05-08,"1,683,282,925,098"
2024-05-09,"1,865,883,967,536"
2024-05-10,"1,872,556,385,717"
2024-05-11,"2,053,088,659,589"
2024-05-12,"1,665,723,005,744"
2024-05-13,"1,845,796,898,200"
2024-05-14,"1,704,311,175,190"
2024-05-15,"1,856,706,611,379"
2024-05-16,"1,891,549,003,107"
2024-05-17,"2,339,857,972,294"
2024-05-18,"1,855,066,423,532"
2024-05-19,"2,290,843,829,368"
2024-05-20,"2,285,765,535,759"
2024-05-21,"2,179,669,086,325"
2024-05-22,"2,780,396,332,702"
2024-05-23,"2,752,445,686,979"
2024-05-24,"2,490,196,200,923"
2024-05-25,"2,442,626,948,282"
2024-05-26,"2,637,200,446,094"
2024-05-27,"1,980,215,357,372"
2024-05-28,"2,041,979,108,884"
2024-05-29,"2,235,672,022,783"
2024-05-30,"1,964,491,922,840"
2024-05-31,"2,443,557,074,903"
2024-06-01,"2,244,160,430,983"
2024-06-02,"2,164,793,946,831"
2024-06-03,"2,493,652,223,394"
2024-06-04,"2,171,362,276,678"
2024-06-05,"2,154,900,128,756"
2024-06-06,"2,413,075,751,599"
2024-06-07,"3,802,399,891,063"
2024-06-08,"3,405,126,805,986"
2024-06-09,"2,658,222,228,723"
2024-06-10,"2,412,481,229,202"
2024-06-11,"2,016,199,966,141"
2024-06-12,"2,381,246,370,778"
2024-06-13,"2,346,721,086,498"
2024-06-14,"2,087,569,463,948"
2024-06-15,"2,080,308,537,580"
2024-06-16,"2,395,101,226,369"
2024-06-17,"2,064,151,387,417"
2024-06-18,"2,231,368,631,801"
2024-06-19,"1,998,545,528,996"
2024-06-20,"1,967,573,581,609"
2024-06-21,"1,943,950,820,734"
2024-06-22,"2,123,446,345,170"
2024-06-23,"1,504,000,653,225"
2024-06-24,"2,010,944,750,050"
2024-06-25,"1,587,620,395,404"
2024-06-26,"1,506,132,111,183"
2024-06-27,"1,659,689,620,058"
2024-06-28,"1,665,369,337,610"
2024-06-29,"1,906,554,303,248"
2024-06-30,"1,454,817,089,170"
2024-07-01,"1,791,403,113,136"
2024-07-02,"1,883,181,613,223"
2024-07-03,"1,866,816,171,221"
2024-07-04,"1,650,311,802,463"
2024-07-05,"1,341,353,009,421"
2024-07-06,"1,775,486,463,017"
2024-07-07,"1,476,841,993,245"
2024-07-08,"1,679,307,424,099"
2024-07-09,"1,588,892,227,919"
2024-07-10,"1,456,545,085,976"
2024-07-11,"1,516,789,592,080"
2024-07-12,"1,619,949,463,452"
2024-07-13,"1,726,248,610,859"
2024-07-14,"1,887,550,063,800"
