"Tarih","Şimdi","Açılış","Yüksek","Düşük","Hac.","Fark %"
"03.03.2025","2.893,71","2.856,71","2.895,45","2.855,63","","1,23%"
"28.02.2025","2.858,60","2.877,66","2.885,34","2.832,63","","-0,61%"
"27.02.2025","2.876,19","2.916,80","2.920,96","2.867,86","","-1,37%"
"26.02.2025","2.916,19","2.915,42","2.930,22","2.890,99","","0,04%"
"25.02.2025","2.915,12","2.951,82","2.954,44","2.888,06","","-1,22%"
"24.02.2025","2.951,19","2.936,41","2.956,37","2.920,77","","0,52%"
"21.02.2025","2.936,03","2.939,00","2.950,01","2.916,70","","-0,09%"
"20.02.2025","2.938,70","2.932,81","2.954,97","2.924,20","","0,21%"
"19.02.2025","2.932,64","2.935,73","2.947,23","2.918,50","","-0,10%"
"18.02.2025","2.935,58","2.897,51","2.937,46","2.891,94","","1,31%"
"17.02.2025","2.897,66","2.883,55","2.906,69","2.887,20","","0,50%"
"14.02.2025","2.883,18","2.929,19","2.940,23","2.876,96","","-1,57%"
"13.02.2025","2.929,03","2.904,10","2.929,74","2.900,20","","0,87%"
"12.02.2025","2.903,66","2.898,90","2.909,16","2.864,01","","0,18%"
"11.02.2025","2.898,34","2.907,47","2.943,25","2.881,76","","-0,31%"
"10.02.2025","2.907,34","2.864,08","2.911,60","2.854,69","","1,64%"
"07.02.2025","2.860,39","2.856,60","2.886,96","2.852,55","","0,14%"
"06.02.2025","2.856,50","2.865,26","2.873,74","2.834,40","","-0,30%"
"05.02.2025","2.865,09","2.842,06","2.882,53","2.839,32","","0,81%"
"04.02.2025","2.841,94","2.814,80","2.845,57","2.806,90","","1,01%"
"03.02.2025","2.813,49","2.801,40","2.831,70","2.771,69","","0,45%"
"31.01.2025","2.801,00","2.794,04","2.817,57","2.790,78","","0,25%"
"30.01.2025","2.793,88","2.757,90","2.798,80","2.757,24","","1,31%"
"29.01.2025","2.757,71","2.763,48","2.766,53","2.744,71","","-0,20%"
"28.01.2025","2.763,11","2.742,57","2.765,18","2.734,68","","0,80%"
"27.01.2025","2.741,10","2.770,70","2.773,02","2.729,80","","-1,09%"
"24.01.2025","2.771,30","2.754,06","2.786,04","2.752,56","","0,64%"
"23.01.2025","2.753,69","2.755,96","2.759,06","2.735,85","","-0,05%"
"22.01.2025","2.755,02","2.745,08","2.763,72","2.741,83","121,32K","0,39%"
"21.01.2025","2.744,39","2.709,01","2.746,88","2.702,49","121,32K","1,34%"
"20.01.2025","2.708,06","2.702,51","2.714,40","2.689,32","121,32K","0,24%"
"17.01.2025","2.701,55","2.713,85","2.717,73","2.698,41","121,32K","-0,45%"
"16.01.2025","2.713,77","2.695,96","2.724,86","2.690,00","121,32K","0,67%"
"15.01.2025","2.695,82","2.677,29","2.697,85","2.669,04","121,32K","0,70%"
"14.01.2025","2.677,16","2.662,53","2.678,44","2.659,79","121,32K","0,56%"
"13.01.2025","2.662,12","2.689,35","2.693,77","2.656,73","121,32K","-1,02%"
"10.01.2025","2.689,63","2.670,74","2.698,57","2.663,65","121,32K","0,73%"
"09.01.2025","2.670,19","2.662,20","2.675,42","2.662,35","121,32K","0,31%"
"08.01.2025","2.662,06","2.649,85","2.670,60","2.645,03","121,32K","0,47%"
"07.01.2025","2.649,49","2.636,02","2.664,54","2.632,57","","0,54%"
"06.01.2025","2.635,33","2.641,00","2.649,62","2.614,60","","-0,14%"
"03.01.2025","2.639,12","2.657,29","2.665,47","2.636,40","","-0,68%"
"02.01.2025","2.657,16","2.626,60","2.660,85","2.621,51","","1,27%"
"31.12.2024","2.623,81","2.606,13","2.627,85","2.602,50","","0,71%"
"30.12.2024","2.605,39","2.620,30","2.628,61","2.595,90","","-0,56%"
"27.12.2024","2.620,00","2.634,59","2.638,74","2.611,30","","-0,55%"
"26.12.2024","2.634,43","2.619,79","2.639,40","2.614,13","","0,81%"
"24.12.2024","2.613,20","2.613,07","2.621,83","2.609,92","","0,01%"
"23.12.2024","2.612,93","2.622,24","2.633,60","2.607,97","","-0,30%"
"20.12.2024","2.620,77","2.593,97","2.631,92","2.589,56","","1,04%"
"19.12.2024","2.593,85","2.587,87","2.626,73","2.583,49","","0,24%"
"18.12.2024","2.587,63","2.645,68","2.652,08","2.586,52","","-2,19%"
"17.12.2024","2.645,54","2.652,63","2.659,22","2.633,00","","-0,26%"
"16.12.2024","2.652,50","2.649,10","2.664,83","2.643,34","","0,16%"
"13.12.2024","2.648,39","2.681,47","2.693,02","2.645,90","","-1,23%"
"12.12.2024","2.681,33","2.718,07","2.726,31","2.675,04","","-1,35%"
"11.12.2024","2.717,93","2.693,76","2.721,35","2.674,58","","0,90%"
"10.12.2024","2.693,64","2.658,82","2.695,79","2.657,95","","1,31%"
"09.12.2024","2.658,78","2.635,52","2.676,52","2.627,47","","0,98%"
"06.12.2024","2.632,91","2.632,18","2.645,69","2.613,57","","0,03%"
"05.12.2024","2.632,05","2.649,92","2.655,62","2.623,55","","-0,67%"
"04.12.2024","2.649,79","2.643,57","2.657,36","2.632,50","","0,24%"
"03.12.2024","2.643,44","2.639,05","2.655,71","2.634,12","121,32K","0,17%"
"02.12.2024","2.638,93","2.653,82","2.656,21","2.621,90","","-0,55%"
"29.11.2024","2.653,55","2.641,20","2.666,35","2.634,11","","0,48%"
"28.11.2024","2.640,96","2.635,74","2.650,12","2.620,95","","0,21%"
"27.11.2024","2.635,51","2.632,16","2.658,40","2.627,06","","0,14%"
"26.11.2024","2.631,89","2.625,38","2.642,05","2.605,29","","0,25%"
"25.11.2024","2.625,26","2.715,10","2.721,43","2.615,70","","-3,22%"
"22.11.2024","2.712,55","2.669,84","2.712,91","2.667,38","","1,61%"
"21.11.2024","2.669,69","2.650,19","2.673,86","2.647,95","","0,74%"
"20.11.2024","2.650,05","2.631,80","2.655,50","2.618,70","","0,70%"
"19.11.2024","2.631,68","2.612,29","2.639,69","2.610,25","","0,75%"
"18.11.2024","2.612,20","2.561,59","2.615,17","2.561,59","","1,99%"
"15.11.2024","2.561,24","2.566,54","2.576,09","2.554,58","","-0,19%"
"14.11.2024","2.566,19","2.573,91","2.581,61","2.536,91","","-0,29%"
"13.11.2024","2.573,78","2.597,41","2.618,97","2.573,00","","-0,90%"
"12.11.2024","2.597,27","2.620,31","2.627,24","2.589,79","","-0,88%"
"11.11.2024","2.620,20","2.684,81","2.686,51","2.610,62","","-2,37%"
"08.11.2024","2.683,77","2.707,37","2.710,51","2.680,36","","-0,86%"
"07.11.2024","2.706,99","2.659,36","2.710,20","2.643,50","","1,80%"
"06.11.2024","2.659,24","2.743,88","2.749,80","2.652,44","","-3,07%"
"05.11.2024","2.743,59","2.736,58","2.750,06","2.724,75","","0,26%"
"04.11.2024","2.736,39","2.734,10","2.748,30","2.729,78","","0,05%"
"01.11.2024","2.735,16","2.742,50","2.762,29","2.733,20","","-0,32%"
"31.10.2024","2.743,80","2.787,75","2.790,41","2.731,65","","-1,52%"
"30.10.2024","2.786,19","2.775,01","2.790,09","2.770,65","","0,40%"
"29.10.2024","2.775,13","2.743,70","2.775,89","2.739,82","","1,21%"
"28.10.2024","2.741,98","2.734,84","2.746,06","2.724,72","","-0,21%"
"25.10.2024","2.747,69","2.736,10","2.747,97","2.716,97","","0,44%"
"24.10.2024","2.735,70","2.717,99","2.743,38","2.715,72","","0,67%"
"23.10.2024","2.717,54","2.749,52","2.758,53","2.708,79","","-1,12%"
"22.10.2024","2.748,38","2.720,00","2.749,47","2.718,93","","1,06%"
"21.10.2024","2.719,65","2.721,71","2.740,61","2.714,23","","-0,02%"
"18.10.2024","2.720,25","2.692,41","2.722,87","2.691,48","","1,03%"
"17.10.2024","2.692,55","2.674,05","2.696,80","2.673,00","","0,72%"
"16.10.2024","2.673,24","2.663,00","2.685,73","2.658,71","","0,46%"
"15.10.2024","2.660,99","2.651,75","2.669,07","2.638,31","","0,37%"
"14.10.2024","2.651,05","2.657,21","2.666,94","2.643,16","","-0,19%"
"11.10.2024","2.656,00","2.630,80","2.661,55","2.627,65","","1,01%"
"10.10.2024","2.629,48","2.608,14","2.631,63","2.604,15","","0,83%"
"09.10.2024","2.607,77","2.620,19","2.624,65","2.605,18","","-0,54%"
"08.10.2024","2.621,94","2.643,50","2.653,09","2.604,79","","-0,82%"
"07.10.2024","2.643,58","2.651,20","2.659,91","2.637,70","","-0,33%"
"04.10.2024","2.652,25","2.654,39","2.670,15","2.632,00","","-0,14%"
"03.10.2024","2.655,90","2.658,66","2.663,40","2.639,73","","-0,07%"
"02.10.2024","2.657,75","2.661,15","2.663,85","2.641,18","","-0,19%"
"01.10.2024","2.662,82","2.635,41","2.673,20","2.631,98","","1,08%"
"30.09.2024","2.634,49","2.658,30","2.666,11","2.624,78","","-0,88%"
"27.09.2024","2.657,97","2.669,50","2.674,40","2.643,15","","-0,46%"
"26.09.2024","2.670,20","2.657,32","2.685,96","2.654,56","","0,50%"
"25.09.2024","2.656,82","2.655,90","2.670,60","2.649,84","","0,00%"
"24.09.2024","2.656,70","2.628,92","2.664,47","2.622,58","","1,08%"
"23.09.2024","2.628,40","2.621,81","2.635,54","2.613,60","","0,25%"
"20.09.2024","2.621,96","2.587,50","2.625,79","2.584,81","","1,37%"
"19.09.2024","2.586,48","2.559,07","2.594,89","2.551,26","","1,08%"
