date,y
2024-01-10,605995.0
2024-01-11,664879.0
2024-01-12,596693.0
2024-01-13,715186.0
2024-01-14,616604.0
2024-01-15,568802.0
2024-01-16,569684.0
2024-01-17,647470.0
2024-01-18,678147.0
2024-01-19,627719.0
2024-01-20,656529.0
2024-01-21,621585.0
2024-01-22,620801.0
2024-01-23,600773.0
2024-01-24,564400.0
2024-01-25,573766.0
2024-01-26,683719.0
2024-01-27,718169.0
2024-01-28,731738.0
2024-01-29,697324.0
2024-01-30,687547.0
2024-01-31,622142.0
2024-02-01,680097.0
2024-02-02,691810.0
2024-02-03,668270.0
2024-02-04,539397.0
2024-02-05,525379.0
2024-02-06,521338.0
2024-02-07,640781.0
2024-02-08,547079.0
2024-02-09,615935.0
2024-02-10,637411.0
2024-02-11,558692.0
2024-02-12,649038.0
2024-02-13,589286.0
2024-02-14,586548.0
2024-02-15,612859.0
2024-02-16,613011.0
2024-02-17,590229.0
2024-02-18,563861.0
2024-02-19,617452.0
2024-02-20,638563.0
2024-02-21,630339.0
2024-02-22,642155.0
2024-02-23,679759.0
2024-02-24,591315.0
2024-02-25,607478.0
2024-02-26,620435.0
2024-02-27,674490.0
2024-02-28,763915.0
2024-02-29,772702.0
2024-03-01,771270.0
2024-03-02,623680.0
2024-03-03,633897.0
2024-03-04,664743.0
2024-03-05,772888.0
2024-03-06,681667.0
2024-03-07,714978.0
2024-03-08,716770.0
2024-03-09,632927.0
2024-03-10,627815.0
2024-03-11,684136.0
2024-03-12,677201.0
2024-03-13,710767.0
2024-03-14,663447.0
2024-03-15,749328.0
2024-03-16,621787.0
2024-03-17,601779.0
2024-03-18,673489.0
2024-03-19,755218.0
2024-03-20,639266.0
2024-03-21,611408.0
2024-03-22,679058.0
2024-03-23,622559.0
2024-03-24,566459.0
2024-03-25,623335.0
2024-03-26,648004.0
2024-03-27,637151.0
2024-03-28,696012.0
2024-03-29,659374.0
2024-03-30,614851.0
2024-03-31,546293.0
2024-04-01,648777.0
2024-04-02,685496.0
2024-04-03,714141.0
